,max_iter,Tolerance,C_param,accuracy
128,500,2.0001,0.1,0.7623301693653453
129,500,2.0001,1.0,0.7623301693653453
130,500,2.0001,10.0,0.7623301693653453
131,500,2.0001,100.0,0.7623301693653453
132,500,5.0001,0.001,0.7627024008933556
133,500,5.0001,0.01,0.7627024008933556
134,500,5.0001,0.1,0.7627024008933556
135,500,5.0001,1.0,0.7627024008933556
136,500,5.0001,10.0,0.7627024008933556
137,500,5.0001,100.0,0.7627024008933556
138,500,5.00001,0.001,0.7627024008933556
139,500,5.00001,0.01,0.7627024008933556
140,500,5.00001,0.1,0.7627024008933556
141,500,5.00001,1.0,0.7627024008933556
142,500,5.00001,10.0,0.7627024008933556
143,500,5.00001,100.0,0.7627024008933556
144,500,10.0001,0.001,0.7627024008933556
145,500,10.0001,0.01,0.7627024008933556
146,500,10.0001,0.1,0.7627024008933556
147,500,10.0001,1.0,0.7627024008933556
148,500,10.0001,10.0,0.7627024008933556
149,500,10.0001,100.0,0.7627024008933556
